"data","categoria","descripció","quantitat"
01/01/22,"alimentació","compra en supermercat","150.00"
01/01/22,"transport","benzina pel cotxe","50.00"
01/01/22,"vivenda","pagament de lloguer","800.00"
02/01/22,"alimentació","menjar en restaurant","35.00"
02/01/22,"entreteniment","entrada pel cinema","20.00"
02/01/22,"transport","pagament de peatge","5.00"
03/01/22,"alimentació","compra en supermercat","80.00"
03/01/22,"transport","pagament de taxi","25.00"
03/01/22,"vestimenta","roba nova","120.00"
04/01/22,"vivenda","aigua i llum","50.00"
04/01/22,"alimentació","dinar","15.00"
04/01/22,"transport","benzina pel cotxe","40.00"
